start_frame,end_frame,frame_dir,label,train
1,79,/path/to/dir/hmdb_frames/somersault/lk_sport_revolution_somersault_f_cm_np1_ba_med_0,0,False
1,78,/path/to/dir/hmdb_frames/somersault/Boden_bung_Spoho_Eignungspr_fung_somersault_f_cm_np1_le_med_0,0,True
1,79,/path/to/dir/hmdb_frames/somersault/Rush_Hour_4_Turnk_r_somersault_f_cm_np2_ri_med_1,0,True
1,102,/path/to/dir/hmdb_frames/somersault/So_turnt_man_richtig!!!_somersault_f_cm_np1_fr_med_0,0,True
1,79,/path/to/dir/hmdb_frames/somersault/Uni-Koblenz_Normfreies_Turnen__WS_05_06__Pr_fung_somersault_f_cm_np2_ri_bad_1,0,True
1,101,/path/to/dir/hmdb_frames/somersault/Turnen_Lisa_en_Janine_op_de_Balk_somersault_f_cm_np1_le_bad_0,0,True
1,42,/path/to/dir/hmdb_frames/somersault/Pirates_7_somersault_f_cm_np1_ri_bad_1,0,True
1,41,/path/to/dir/hmdb_frames/somersault/hechtsprung_3_somersault_f_cm_np1_le_bad_0,0,True
1,77,/path/to/dir/hmdb_frames/somersault/Handstandk_nig_somersault_f_cm_np1_le_med_2,0,True
1,80,/path/to/dir/hmdb_frames/somersault/Jennis_Bodenk_r_somersault_f_cm_np1_le_med_1,0,True
1,32,/path/to/dir/hmdb_frames/somersault/Parkour_Dive_Tutorial_somersault_u_cm_np1_ri_bad_0,0,True
1,86,/path/to/dir/hmdb_frames/somersault/Juli_beim_Bodenturnen_MPG_somersault_f_cm_np1_le_bad_0,0,True
1,95,/path/to/dir/hmdb_frames/somersault/Philli_beim_Bodenturnen_somersault_f_cm_np1_ri_bad_3,0,True
1,42,/path/to/dir/hmdb_frames/somersault/Parkour_Dive_Tutorial_somersault_f_cm_np1_fr_bad_2,0,True
1,40,/path/to/dir/hmdb_frames/somersault/_Jumper_Boys___Pedrim_Naruto_-_Dive_Roll_Over_13_People_somersault_f_cm_np1_ri_bad_0,0,True
1,79,/path/to/dir/hmdb_frames/somersault/Turnen_Uni_Osnabr_ck_Boden_(Einf_hrung)_somersault_f_cm_np1_ba_med_1,0,True
1,79,/path/to/dir/hmdb_frames/somersault/48_Putzelb_ume_hintereinander_Mare_somersault_f_cm_np1_le_bad_1,0,True
1,46,/path/to/dir/hmdb_frames/somersault/THE_PROTECTOR_somersault_f_nm_np1_le_bad_99,0,True
