start_frame,end_frame,frame_dir,label,train
1,145,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c01,0,True
1,141,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c02,0,True
1,176,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c03,0,True
1,270,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c04,0,True
1,332,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c05,0,True
1,212,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c01,0,True
1,311,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c02,0,True
1,253,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c03,0,True
1,230,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c04,0,True
1,234,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c05,0,True
1,227,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c06,0,True
1,314,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c07,0,True
1,185,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c01,0,True
1,119,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c02,0,True
1,128,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c03,0,True
1,150,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c04,0,True
1,145,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c05,0,True
1,169,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g11_c01,0,True
1,215,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g11_c02,0,True
1,151,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g11_c03,0,True
1,167,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g11_c04,0,True
1,217,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g11_c05,0,True
1,272,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g12_c01,0,True
1,145,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g12_c02,0,True
1,170,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g12_c03,0,True
1,251,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g12_c04,0,True
1,153,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g12_c05,0,True
1,255,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g12_c06,0,True
1,211,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g13_c01,0,True
1,120,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g13_c02,0,True
1,203,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g13_c03,0,True
1,145,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g13_c04,0,True
1,144,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g13_c05,0,True
1,165,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g13_c06,0,True
1,223,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g14_c01,0,True
1,224,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g14_c02,0,True
1,285,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g14_c03,0,True
1,159,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g14_c04,0,True
1,193,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g14_c05,0,True
1,204,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g15_c01,0,True
1,233,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g15_c02,0,True
1,279,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g15_c03,0,True
1,225,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g15_c04,0,True
1,312,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g15_c05,0,True
1,237,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g15_c06,0,True
1,219,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g15_c07,0,True
1,151,/path/to/dir/ucf_frames_30fps/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g16_c01,0,True
